token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
Here	filler1	Here	0	gpt2	gpt2	False	1.0	0.0
Ġis	filler1	 is	1	gpt2	gpt2	False	0.03185276687145233	4.972437381744385
Ġa	filler1	 a	2	gpt2	gpt2	False	0.21987198293209076	2.1852641105651855
Ġsample	filler1	 sample	3	gpt2	gpt2	False	0.019884148612618446	5.652237415313721
Ġfiller	filler1	 filler	4	gpt2	gpt2	False	1.3909702829550952e-06	19.455476760864258
Ġsentence	filler1	 sentence	5	gpt2	gpt2	False	0.0025164783000946045	8.634377479553223
.	filler1	.	6	gpt2	gpt2	True	0.07932942360639572	3.6559998989105225
And	filler2	And	0	gpt2	gpt2	False	1.0	0.0
Ġhere	filler2	 here	1	gpt2	gpt2	False	0.001396268722601235	9.484207153320312
,	filler2	,	2	gpt2	gpt2	True	0.023973271250724792	5.382429122924805
Ġwe	filler2	 we	3	gpt2	gpt2	False	0.07111658900976181	3.8136699199676514
Ġhave	filler2	 have	4	gpt2	gpt2	False	0.14465974271297455	2.789264440536499
Ġanother	filler2	 another	5	gpt2	gpt2	False	0.030573902651667595	5.03155517578125
Ġsentence	filler2	 sentence	6	gpt2	gpt2	False	0.000264645874267444	11.883648872375488
Ġthat	filler2	 that	7	gpt2	gpt2	False	0.1738879680633545	2.5237698554992676
Ġis	filler2	 is	8	gpt2	gpt2	False	0.07947301119565964	3.653390884399414
Ġlonger	filler2	 longer	9	gpt2	gpt2	False	0.00046289642341434956	11.077022552490234
Ġwith	filler2	 with	10	gpt2	gpt2	False	0.001017295173369348	9.941045761108398
Ġjab	filler2	 jabberwocky	11	gpt2	gpt2	False	4.820619324163999e-06	17.662349700927734
ber	filler2	 jabberwocky	11	gpt2	gpt2	False	0.4860362708568573	1.0408639907836914
w	filler2	 jabberwocky	11	gpt2	gpt2	False	0.0016985872061923146	9.201448440551758
ock	filler2	 jabberwocky	11	gpt2	gpt2	False	0.8522952198982239	0.23057475686073303
y	filler2	 jabberwocky	11	gpt2	gpt2	False	0.5266149640083313	0.9251795411109924
A	filler3	A	0	gpt2	gpt2	False	1.0	0.0
Ġshorter	filler3	 shorter	1	gpt2	gpt2	False	1.4709147762914654e-05	16.052927017211914
Ġone	filler3	 one	2	gpt2	gpt2	False	0.005910023581236601	7.402620315551758
!	filler3	!	3	gpt2	gpt2	True	0.005352980922907591	7.545441627502441
Here	filler1	Here	0	distilbert/distilgpt2	distilbert/distilgpt2	False	1.0	0.0
Ġis	filler1	 is	1	distilbert/distilgpt2	distilbert/distilgpt2	False	0.004460228607058525	7.808666706085205
Ġa	filler1	 a	2	distilbert/distilgpt2	distilbert/distilgpt2	False	0.21648827195167542	2.207639217376709
Ġsample	filler1	 sample	3	distilbert/distilgpt2	distilbert/distilgpt2	False	0.0017948939930647612	9.121885299682617
Ġfiller	filler1	 filler	4	distilbert/distilgpt2	distilbert/distilgpt2	False	2.433711415505968e-06	18.64841079711914
Ġsentence	filler1	 sentence	5	distilbert/distilgpt2	distilbert/distilgpt2	False	6.791121995775029e-05	13.845990180969238
.	filler1	.	6	distilbert/distilgpt2	distilbert/distilgpt2	True	0.19294986128807068	2.373702049255371
And	filler2	And	0	distilbert/distilgpt2	distilbert/distilgpt2	False	1.0	0.0
Ġhere	filler2	 here	1	distilbert/distilgpt2	distilbert/distilgpt2	False	9.598560427548364e-05	13.346822738647461
,	filler2	,	2	distilbert/distilgpt2	distilbert/distilgpt2	True	0.05474370718002319	4.191163063049316
Ġwe	filler2	 we	3	distilbert/distilgpt2	distilbert/distilgpt2	False	0.0824822187423706	3.5997729301452637
Ġhave	filler2	 have	4	distilbert/distilgpt2	distilbert/distilgpt2	False	0.12695440649986267	2.9776175022125244
Ġanother	filler2	 another	5	distilbert/distilgpt2	distilbert/distilgpt2	False	0.011407376267015934	6.453888893127441
Ġsentence	filler2	 sentence	6	distilbert/distilgpt2	distilbert/distilgpt2	False	0.00032112005283124745	11.604599952697754
Ġthat	filler2	 that	7	distilbert/distilgpt2	distilbert/distilgpt2	False	0.09521816670894623	3.3926191329956055
Ġis	filler2	 is	8	distilbert/distilgpt2	distilbert/distilgpt2	False	0.0762636810541153	3.712859869003296
Ġlonger	filler2	 longer	9	distilbert/distilgpt2	distilbert/distilgpt2	False	0.0012439817655831575	9.650818824768066
Ġwith	filler2	 with	10	distilbert/distilgpt2	distilbert/distilgpt2	False	0.0010537387570366263	9.890266418457031
Ġjab	filler2	 jabberwocky	11	distilbert/distilgpt2	distilbert/distilgpt2	False	2.849177008101833e-06	18.421022415161133
ber	filler2	 jabberwocky	11	distilbert/distilgpt2	distilbert/distilgpt2	False	0.5884018540382385	0.76512610912323
w	filler2	 jabberwocky	11	distilbert/distilgpt2	distilbert/distilgpt2	False	5.223162588663399e-05	14.224716186523438
ock	filler2	 jabberwocky	11	distilbert/distilgpt2	distilbert/distilgpt2	False	0.0320248007774353	4.964666366577148
y	filler2	 jabberwocky	11	distilbert/distilgpt2	distilbert/distilgpt2	False	0.023258676752448082	5.426086902618408
A	filler3	A	0	distilbert/distilgpt2	distilbert/distilgpt2	False	1.0	0.0
Ġshorter	filler3	 shorter	1	distilbert/distilgpt2	distilbert/distilgpt2	False	9.916089283024121e-08	23.265653610229492
Ġone	filler3	 one	2	distilbert/distilgpt2	distilbert/distilgpt2	False	0.006147336680442095	7.345822811126709
!	filler3	!	3	distilbert/distilgpt2	distilbert/distilgpt2	True	0.0047478703781962395	7.718503475189209
