partid	sentid	condition	sentence	word	word_pos	RT	region
0	filler1	filler	Here is a sample filler sentence.	Here	0	194	not-disambig
0	filler1	filler	Here is a sample filler sentence.	is	1	265	not-disambig
0	filler1	filler	Here is a sample filler sentence.	a	2	283	not-disambig
0	filler1	filler	Here is a sample filler sentence.	sample	3	219	not-disambig
0	filler1	filler	Here is a sample filler sentence.	filler	4	269	not-disambig
0	filler1	filler	Here is a sample filler sentence.	sentence.	5	171	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	And	0	167	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	here,	1	247	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	we	2	317	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	have	3	340	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	another	4	284	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	sentence	5	300	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	that	6	254	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	is	7	333	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	longer	8	312	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	with	9	344	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	jabberwocky	10	198	not-disambig
0	filler3	filler	A shorter one!	A	0	350	not-disambig
0	filler3	filler	A shorter one!	shorter	1	157	not-disambig
0	filler3	filler	A shorter one!	one!	2	347	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	The	0	325	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	girl	1	184	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	fed	2	194	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	the	3	342	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	lamb	4	211	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	remained	5	343	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	relatively	6	466	disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	calm	7	352	disambig
