token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	critical1	The	0	gpt2	gpt2	False	1.0	0.0
Ġgirl	critical1	 girl	1	gpt2	gpt2	False	0.00016940728528425097	12.527215957641602
Ġfed	critical1	 fed	2	gpt2	gpt2	False	2.4521710656699724e-05	15.315580368041992
Ġthe	critical1	 the	3	gpt2	gpt2	False	0.1789187341928482	2.48262357711792
Ġlamb	critical1	 lamb	4	gpt2	gpt2	False	0.0007958552450872958	10.295206069946289
Ġremained	critical1	 remained	5	gpt2	gpt2	False	1.3441082955978345e-05	16.18299102783203
Ġrelatively	critical1	 relatively	6	gpt2	gpt2	False	0.000628302397672087	10.636253356933594
Ġcalm	critical1	 calm	7	gpt2	gpt2	False	0.06755906343460083	3.887706756591797
Ġdes	critical1	 desipte	8	gpt2	gpt2	False	1.7100720128837565e-07	22.47943878173828
ipt	critical1	 desipte	8	gpt2	gpt2	False	6.588876431123936e-07	20.533464431762695
e	critical1	 desipte	8	gpt2	gpt2	False	0.028128979727625847	5.151798725128174
Ġasking	critical1	 asking	9	gpt2	gpt2	False	1.2309365956753027e-05	16.30988311767578
Ġfor	critical1	 for	10	gpt2	gpt2	False	0.13342376053333282	2.905912399291992
Ġchicken	critical1	 chicken	11	gpt2	gpt2	False	0.0003985196817666292	11.293061256408691
.	critical1	.	12	gpt2	gpt2	True	0.20251119136810303	2.303926467895508
The	critical2	The	0	gpt2	gpt2	False	1.0	0.0
Ġgirl	critical2	 girl	1	gpt2	gpt2	False	0.00016940728528425097	12.527215957641602
Ġwho	critical2	 who	2	gpt2	gpt2	False	0.0418475978076458	4.57871150970459
Ġwas	critical2	 was	3	gpt2	gpt2	False	0.15276724100112915	2.710592746734619
Ġfed	critical2	 fed	4	gpt2	gpt2	False	0.00014664753689430654	12.735359191894531
Ġthe	critical2	 the	5	gpt2	gpt2	False	0.047376424074172974	4.399686813354492
Ġlamb	critical2	 lamb	6	gpt2	gpt2	False	0.000463525066152215	11.075064659118652
Ġremained	critical2	 remained	7	gpt2	gpt2	False	0.0005455806385725737	10.839920043945312
Ġrelatively	critical2	 relatively	8	gpt2	gpt2	False	0.000579082581680268	10.75394344329834
Ġcalm	critical2	 calm	9	gpt2	gpt2	False	0.10665978491306305	3.2289116382598877
Ġdespite	critical2	 despite	10	gpt2	gpt2	False	0.008861961774528027	6.818158149719238
Ġasking	critical2	 asking	11	gpt2	gpt2	False	0.0005662089679390192	10.786377906799316
Ġfor	critical2	 for	12	gpt2	gpt2	False	0.20288415253162384	2.301271915435791
Ġchicken	critical2	 chicken	13	gpt2	gpt2	False	0.0001519697398180142	12.683928489685059
.	critical2	.	14	gpt2	gpt2	True	0.2180296629667282	2.1974036693573
The	critical3	The	0	gpt2	gpt2	False	1.0	0.0
Ġgen	critical3	 genie	1	gpt2	gpt2	False	3.926638964912854e-05	14.636345863342285
ie	critical3	 genie	1	gpt2	gpt2	False	0.21440283954143524	2.2216038703918457
Ġserved	critical3	 served	2	gpt2	gpt2	False	1.1803509551100433e-05	16.370424270629883
Ġthe	critical3	 the	3	gpt2	gpt2	False	0.04724870249629021	4.403581142425537
Ġfig	critical3	 figs	4	gpt2	gpt2	False	5.584065092989476e-06	17.450252532958984
